Land;Hauptstadt;Flaeche;Einwohner;Einwohner pro qkm
Baden-Württemberg;Stuttgart;35751;11100394;310
Bayern;München;70550;13124737;186
Berlin;Berlin;892;3669491;4115
Brandenburg;Potsdam;29654;2521893;85
Bremen;Bremen;419;681202;1624
Hamburg;Hamburg;755;1847253;2447
Hessen;Wiesbaden;21115;6288080;298
Mecklenburg-Vorpommern;Schwerin;23213;1608138;69
Niedersachsen;Hannover;47616;7993608;168
Nordrhein-Westfalen;Düsseldorf;34113;17947221;526
Rheinland-Pfalz;Mainz;19854;4093903;206
Saarland;Saarbrücken;2569;986887;384
Sachsen;Dresden;18450;4071971;221
Sachsen-Anhalt;Magdeburg;20452;2194782;107
Schleswig-Holstein;Kiel;15802;2903773;184
Thüringen;Erfurt;16202;2133378;132
