Pl.,Verein,Sp.,S,U,N,Tore,Diff.,Punkte
1.,FC Bayern München,34,26,4,4,100:320,+68,82
2.,Borussia Dortmund,34,21,6,7,084:410,+43,69
3.,RB Leipzig,34,18,12,4,081:370,+44,66
4.,Borussia Mönchengladbach,34,20,5,9,066:400,+26,65
5.,Bayer 04 Leverkusen,34,19,6,9,061:440,+17,63
6.,TSG 1899 Hoffenheim,34,15,7,12,053:530,0,52
7.,VfL Wolfsburg,34,13,10,11,048:460,+2,49
8.,SC Freiburg,34,13,9,12,048:470,+1,48
9.,Eintracht Frankfurt,34,13,6,15,059:600,−1,45
10.,Hertha BSC,34,11,8,15,048:590,−11,41
11.,1. FC Union Berlin,34,12,5,17,041:580,−17,41
12.,FC Schalke 04,34,9,12,13,038:580,−20,39
13.,1. FSV Mainz 05,34,11,4,19,044:650,−21,37
14.,1. FC Köln,34,10,6,18,051:690,−18,36
15.,FC Augsburg,34,9,9,16,045:630,−18,36
16.,Werder Bremen,34,8,7,19,042:690,−27,31
17.,Fortuna Düsseldorf,34,6,12,16,036:670,−31,30
18.,SC Paderborn 07,34,4,8,22,037:740,−37,20
