Pl.,Verein,Sp.,S,U,N,Tore,Diff.,Punkte
1.,Arminia Bielefeld,34,18,14,2,065:300,+35,68
2.,VfB Stuttgart,34,17,7,10,062:410,+21,58
3.,1. FC Heidenheim,34,15,10,9,045:360,+9,55
4.,Hamburger SV,34,14,12,8,062:460,+16,54
5.,SV Darmstadt 98,34,13,13,8,048:430,+5,52
6.,Hannover 96,34,13,9,12,054:490,+5,48
7.,FC Erzgebirge Aue,34,13,8,13,046:480,−2,47
8.,VfL Bochum,34,11,13,10,053:510,+2,46
9.,SpVgg Greuther Fürth,34,11,11,12,046:450,+1,44
10.,SV Sandhausen,34,10,13,11,043:450,−2,43
11.,Holstein Kiel,34,11,10,13,053:560,−3,43
12.,SSV Jahn Regensburg,34,11,10,13,050:560,−6,43
13.,VfL Osnabrück,34,9,13,12,046:480,−2,40
14.,FC St. Pauli,34,9,12,13,041:500,−9,39
15.,Karlsruher SC,34,8,13,13,045:560,−11,37
16.,1. FC Nürnberg,34,8,13,13,045:580,−13,37
17.,SV Wehen Wiesbaden,34,9,7,18,045:650,−20,34
18.,Dynamo Dresden,34,8,8,18,032:580,−26,32
