"Rang","Nachname","Vorname","Mannschaft","Punkte","Spiele","Schnitt"
"1.","Gühring","Valentino","TSV Schmiden 2","311","15","20.7"
"2.","Weller","Ben","TSB Schwäbisch Gmünd 2","260","16","16.2"
"3.","Gueli","Alessandro","Tb Ruit Deers","230","14","16.4"
"4.","Sörös","Martin","TSV Schmiden 2","228","15","15.2"
"5.","Huber","Ari","SpVgg Möhringen 2","211","12","17.6"
"6.","Jaros","Samuel","TSV Essingen","180","14","12.9"
"7.","Cobisi","Valerio Paolo","ASV Aichwald","178","11","16.2"
"8.","Komlenic","Krstan","SG Schorndorf","172","15","11.5"
"9.","****","***","TSV Essingen","164","16","10.2"
"10.","Blumberg","David","SpVgg Möhringen 2","162","15","10.8"
"11.","Mehajer","Jaafar","TSV Essingen","160","14","11.4"
"12.","Dere","Ibrahim","Tb Ruit Deers","155","14","11.1"
"13.","Weber","Ben","SG Schorndorf","153","15","10.2"
"14.","Hellmann","Micha-Benjamin","TSB Schwäbisch Gmünd 2","151","14","10.8"
"15.","Kebede","Musse","Sportvg Feuerbach 3","146","13","11.2"
"16.","Mystiroudis","Ioannis","Aalener Sportallianz","135","16","8.4"
"17.","Seyum","Alexander","TSV Essingen","131","15","8.7"
"18.","****","***","Tb Ruit Deers","127","12","10.6"
"19.","Freitag","Markus","ASV Aichwald","125","12","10.4"
"20.","Penz","Julian","TSV Essingen","125","12","10.4"
"21.","Demirtas","Luca","TSV Essingen","123","16","7.7"
"22.","Schneider","Max","Sportvg Feuerbach 3","119","11","10.8"
"23.","Nieuwenhuizen","Florian","SpVgg Möhringen 2","118","12","9.8"
"24.","Pekka","Imre","Aalener Sportallianz","113","7","16.1"
"25.","Albanus","Julius","TSV Essingen","112","9","12.4"
"26.","Pokoj","Franz","Tb Ruit Deers","110","14","7.9"
"27.","Weinschenk","Daniel","ASV Aichwald","107","11","9.7"
"28.","Hergül","Koray","SG Schorndorf","100","14","7.1"
"29.","Schwenzow","Tilmann","ASV Aichwald","99","12","8.2"
"30.","Janovsky","Pascal","Tb Ruit Deers","97","6","16.2"
"31.","Komlenic","Dusan","SG Schorndorf","95","15","6.3"
"32.","Museta","Arian","Tb Ruit Deers","94","10","9.4"
"33.","Altevogt","Daniel","Aalener Sportallianz","91","4","22.8"
"34.","Georgiadis","Dimitris","Sportvg Feuerbach 3","90","10","9.0"
"35.","Meinlschmidt","Tim","SG Schorndorf","89","9","9.9"
"36.","Walter","Martin","TSV Essingen","88","12","7.3"
"37.","Fix","Alexander","ASV Aichwald","86","9","9.6"
"38.","Bulatow","Max","TSB Schwäbisch Gmünd 2","86","16","5.4"
"39.","Pavlovits","Stefan Sasa","SpVgg Möhringen 2","84","10","8.4"
"40.","Fabian","Jascha","SpVgg Möhringen 2","82","12","6.8"
"41.","Zimmermann","Manfred","TSV Essingen","81","15","5.4"
"42.","Gramm","Moritz","ASV Aichwald","77","9","8.6"
"43.","Müller","Peter","TSV Essingen","73","15","4.9"
"44.","Zivkovic","Borislav","Tb Ruit Deers","71","8","8.9"
"45.","Magkoutas","Konstantinos","TSB Schwäbisch Gmünd 2","71","15","4.7"
"46.","Bergert","Sven","TSV Schmiden 2","69","9","7.7"
"47.","Wiedemann","Bernd","SpVgg Möhringen 2","67","16","4.2"
"48.","Weber","Max","Aalener Sportallianz","66","12","5.5"
"49.","Sticher","Niklas","ASV Aichwald","66","14","4.7"
"50.","****","***","ASV Aichwald","65","9","7.2"
"51.","Wang","Warson","Aalener Sportallianz","64","4","16.0"
"52.","Kumar","Sundeep","Tb Ruit Deers","63","10","6.3"
"53.","Skrimizeas","Dimitrios","Sportvg Feuerbach 3","63","10","6.3"
"54.","Dorst","Oliver","TSV Schmiden 2","61","13","4.7"
"55.","Roman","Eric","SpVgg Möhringen 2","61","13","4.7"
"56.","Jankovic","Marvin","TSV Schmiden 2","60","8","7.5"
"57.","El-Hourani","Marcel","ASV Aichwald","60","11","5.5"
"58.","Tumba","Nikita","TSB Schwäbisch Gmünd 2","59","11","5.4"
"59.","Csatlos","Tibor","Aalener Sportallianz","58","14","4.1"
"60.","Jetter","Martin","SpVgg Möhringen 2","58","15","3.9"
"61.","Kunduklija","Almir","TSV Schmiden 2","57","8","7.1"
"62.","Isik","Mehmet Berke","Aalener Sportallianz","57","13","4.4"
"63.","Tchokoyo Nkongho","Crespin Miguel","Aalener Sportallianz","55","10","5.5"
"64.","Zabadal","Patrick","Tb Ruit Deers","55","10","5.5"
"65.","Baykal","Timur","SG Schorndorf","53","7","7.6"
"66.","Hasanovic","Adnan","Tb Ruit Deers","53","10","5.3"
"67.","Toromanovic","Zlatan","SpVgg Möhringen 2","52","8","6.5"
"68.","Fuchs","Rene","Aalener Sportallianz","52","10","5.2"
"69.","Ilas","Vasileios","TSV Schmiden 2","51","7","7.3"
"70.","Peiker","Marvin","TSV Schmiden 2","45","8","5.6"
"71.","Segrt","Milan","SG Schorndorf","44","5","8.8"
"72.","von Benthen","Dominik","ASV Aichwald","43","7","6.1"
"73.","Cetin","Samet","Tb Ruit Deers","42","9","4.7"
"74.","Prauß","Enniego","ASV Aichwald","42","12","3.5"
