"Nr.","Spieltag","Datum","Heim","Gast","Endstand","1.Virtel","Halbzeit","2.Virtel","Verlaengerung"
"88","18","21.04.2024 16:15","TSV Essingen","TSV Schmiden 2","64 : 57","13 : 15","26 : 27","48 : 45",""
"86","18","21.04.2024 12:00","Sportvg Feuerbach 3","ASV Aichwald","79 : 71","15 : 18","35 : 32","63 : 51",""
"87","18","20.04.2024 18:00","SG Schorndorf","Aalener Sportallianz","71 : 51","16 : 15","32 : 23","52 : 35",""
"90","18","20.04.2024 14:30","SpVgg Möhringen 2","Tb Ruit Deers","65 : 71","8 : 20","22 : 44","40 : 59",""
"85","17","14.04.2024 18:00","Aalener Sportallianz","Sportvg Feuerbach 3","47 : 39","13 : 13","26 : 22","35 : 33",""
"81","17","14.04.2024 16:00","ASV Aichwald","SpVgg Möhringen 2","59 : 48","13 : 12","30 : 25","46 : 41",""
"82","17","14.04.2024 14:00","Tb Ruit Deers","TSB Schwäbisch Gmünd 2","80 : 67","20 : 18","35 : 38","56 : 46",""
"84","17","14.04.2024 14:00","TSV Schmiden 2","SG Schorndorf","78 : 47","21 : 6","33 : 13","60 : 29",""
"80","16","17.03.2024 16:15","TSV Essingen","Tb Ruit Deers","72 : 76","18 : 20","38 : 42","56 : 58",""
"77","16","17.03.2024 16:00","ASV Aichwald","Aalener Sportallianz","85 : 31","26 : 8","46 : 12","62 : 20",""
"76","16","16.03.2024 17:30","TSB Schwäbisch Gmünd 2","SpVgg Möhringen 2","58 : 50","17 : 14","29 : 24","42 : 36",""
"78","16","16.03.2024 14:00","Sportvg Feuerbach 3","TSV Schmiden 2","48 : 57","11 : 15","18 : 34","30 : 42",""
"71","15","10.03.2024 14:00","TSV Schmiden 2","ASV Aichwald","65 : 60","27 : 16","46 : 34","58 : 48",""
"74","15","10.03.2024 14:00","Tb Ruit Deers","SG Schorndorf","56 : 52","9 : 18","23 : 28","44 : 33",""
