Team,Spiel,Nachname,Vorname,Punkte,FWVersuche,FWTreffer,2er,3er,Fouls
 Sportvg Feuerbach 3, 10,Awadh,Saad,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 10,Berkant,Kurban,0.0,0.0,0.0,0.0,0.0,1.0
 Sportvg Feuerbach 3, 10,Boras,Karlo,6.0,0.0,0.0,3.0,0.0,1.0
 Sportvg Feuerbach 3, 10,Bosnajkovic,Sanjin,3.0,0.0,0.0,0.0,1.0,2.0
 Sportvg Feuerbach 3, 10,Kitsakis,Ioannis,3.0,0.0,0.0,0.0,1.0,2.0
 Sportvg Feuerbach 3, 10,Mesic,Khiyan,8.0,0.0,0.0,4.0,0.0,2.0
 Sportvg Feuerbach 3, 10,Pelkner,Niklas,6.0,4.0,1.0,1.0,1.0,2.0
 Sportvg Feuerbach 3, 10,Sener,Ömer,0.0,0.0,0.0,0.0,0.0,1.0
 Sportvg Feuerbach 3, 10,Skrimizeas,Dimitrios,3.0,2.0,1.0,1.0,0.0,3.0
 SG Schorndorf, 10,Baykal,Timur,7.0,3.0,1.0,3.0,0.0,1.0
 SG Schorndorf, 10,Buskus,Ignas,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 10,Cimino,Kareem,13.0,8.0,5.0,4.0,0.0,0.0
 SG Schorndorf, 10,Gerstenhauer,Timo,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 10,Hergül,Eray,3.0,0.0,0.0,0.0,1.0,0.0
 SG Schorndorf, 10,Hergül,Koray,14.0,0.0,0.0,1.0,4.0,1.0
 SG Schorndorf, 10,Komlenic,Dusan,10.0,4.0,1.0,3.0,1.0,2.0
 SG Schorndorf, 10,Komlenic,Krstan,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 10,Meinlschmidt,Tim,0.0,0.0,0.0,0.0,0.0,1.0
 SG Schorndorf, 10,****,***,2.0,0.0,0.0,1.0,0.0,2.0
 SG Schorndorf, 10,Weber,Ben,11.0,2.0,0.0,4.0,1.0,0.0
